225007 ivanpu    20   0  774536  93216  63512 D  36.5  0.0   0:00.19 python
225007 ivanpu    20   0  941716 133688  72920 R  66.7  0.1   0:00.53 python
225007 ivanpu    20   0  976236 159712  73796 R  60.8  0.1   0:00.84 python
225007 ivanpu    20   0 1091224 194540  82284 D  59.6  0.1   0:01.15 python
225007 ivanpu    20   0 1145204 214872  84064 D  54.9  0.1   0:01.43 python
225007 ivanpu    20   0 1173868 224588  86908 D  38.5  0.1   0:01.63 python
225007 ivanpu    20   0 1579832 286392  95652 S  27.5  0.1   0:01.77 python
225007 ivanpu    20   0 7640584 361352 102752 R  94.1  0.2   0:02.25 python
225007 ivanpu    20   0 7640584 361612 102848 R  98.1  0.2   0:02.76 python
225007 ivanpu    20   0 7640584 361612 102848 R 100.0  0.2   0:03.27 python
225007 ivanpu    20   0 7796936 456848 102884 R 102.0  0.2   0:03.79 python
225007 ivanpu    20   0 7946940 662240 102884 R  98.1  0.3   0:04.30 python
225007 ivanpu    20   0 8128764 685992 222096 R 100.0  0.3   0:04.81 python
225007 ivanpu    20   0 8505872 797384 234944 R  98.1  0.4   0:05.32 python
225007 ivanpu    20   0 8697568 936440 247784 R 102.0  0.5   0:05.84 python
225007 ivanpu    20   0 8833940   1.0g 261508 R  98.1  0.5   0:06.35 python
225007 ivanpu    20   0 9165872 955164 267380 R 102.0  0.5   0:06.87 python
225007 ivanpu    20   0 9166384 955744 267380 R  98.0  0.5   0:07.37 python
225007 ivanpu    20   0 9166640 956072 267380 R 100.0  0.5   0:07.89 python
225007 ivanpu    20   0 9232688 956516 267388 R 100.0  0.5   0:08.40 python
225007 ivanpu    20   0 9364272 956956 267388 R 100.0  0.5   0:08.92 python
225007 ivanpu    20   0 9364528 957272 267412 R 100.0  0.5   0:09.43 python
225007 ivanpu    20   0 9368880 962468 268252 R  98.1  0.5   0:09.94 python
225007 ivanpu    20   0 9459860   1.0g 268256 R 100.0  0.5   0:10.45 python
225007 ivanpu    20   0 9468052   1.0g 268464 R 102.0  0.5   0:10.97 python
225007 ivanpu    20   0 9468308   1.0g 268464 R  96.2  0.5   0:11.47 python
225007 ivanpu    20   0 9469076   1.0g 268464 R 102.0  0.5   0:11.99 python
225007 ivanpu    20   0 9471124   1.0g 268884 R  98.1  0.5   0:12.50 python
225007 ivanpu    20   0 9471124   1.0g 269020 R 100.0  0.5   0:13.01 python
225007 ivanpu    20   0 9471380   1.0g 269068 R 102.0  0.5   0:13.53 python
225007 ivanpu    20   0 9471636   1.0g 269072 R 100.0  0.5   0:14.05 python
225007 ivanpu    20   0 9473428   1.0g 269072 R 100.0  0.5   0:14.56 python
225007 ivanpu    20   0 9474196   1.0g 269084 R  96.2  0.5   0:15.06 python
225007 ivanpu    20   0 9474196   1.0g 269084 R 102.0  0.5   0:15.58 python
225007 ivanpu    20   0 9474452   1.0g 269084 R  98.1  0.5   0:16.09 python
225007 ivanpu    20   0 9474708   1.0g 269084 R 100.0  0.5   0:16.60 python
225007 ivanpu    20   0 9474708   1.0g 269272 R 102.0  0.5   0:17.12 python
225007 ivanpu    20   0 9474708   1.0g 269272 R  98.1  0.5   0:17.63 python
225007 ivanpu    20   0 9474708   1.0g 269272 R 102.0  0.5   0:18.15 python
225007 ivanpu    20   0 9474708   1.0g 269272 R  98.1  0.5   0:18.66 python
225007 ivanpu    20   0 9474708   1.0g 269272 R 100.0  0.5   0:19.17 python
225007 ivanpu    20   0 9475476   1.0g 269272 R 100.0  0.5   0:19.68 python
225007 ivanpu    20   0 9476244   1.0g 269272 R 100.0  0.5   0:20.20 python
225007 ivanpu    20   0 9477012   1.0g 269272 R 100.0  0.5   0:20.71 python
225007 ivanpu    20   0 9477780   1.0g 269272 R  98.1  0.5   0:21.22 python
225007 ivanpu    20   0 9478548   1.0g 269272 R 100.0  0.5   0:21.73 python
225007 ivanpu    20   0 9479060   1.0g 269292 R 102.0  0.5   0:22.25 python
225007 ivanpu    20   0 9479060   1.0g 269296 R  98.1  0.5   0:22.76 python
225007 ivanpu    20   0 9480084   1.0g 269296 R 100.0  0.5   0:23.27 python
225007 ivanpu    20   0 9480084   1.0g 269296 R 100.0  0.5   0:23.79 python
225007 ivanpu    20   0 9480084   1.0g 269296 R 100.0  0.5   0:24.30 python
225007 ivanpu    20   0 9480596   1.0g 269296 R 100.0  0.5   0:24.81 python
225007 ivanpu    20   0 9480596   1.0g 269300 R 100.0  0.5   0:25.33 python
225007 ivanpu    20   0 9481108   1.0g 269312 R 100.0  0.5   0:25.84 python
225007 ivanpu    20   0 9481876   1.0g 269312 R  98.1  0.5   0:26.35 python
225007 ivanpu    20   0 9482644   1.0g 269312 R 100.0  0.5   0:26.86 python
225007 ivanpu    20   0 9483412   1.0g 269312 R 100.0  0.5   0:27.38 python
225007 ivanpu    20   0 9484180   1.0g 269312 R 100.0  0.5   0:27.89 python
225007 ivanpu    20   0 9484692   1.0g 269312 R 100.0  0.5   0:28.40 python
225007 ivanpu    20   0 9485460   1.0g 269312 R  98.1  0.6   0:28.91 python
225007 ivanpu    20   0 9486228   1.0g 269312 R 102.0  0.6   0:29.43 python
225007 ivanpu    20   0 9486996   1.0g 269312 R  98.1  0.6   0:29.94 python
225007 ivanpu    20   0 9487764   1.0g 269312 R 102.0  0.6   0:30.46 python
225007 ivanpu    20   0 9488532   1.0g 269312 R  98.1  0.6   0:30.97 python
225007 ivanpu    20   0 9489300   1.0g 269312 R 102.0  0.6   0:31.49 python
225007 ivanpu    20   0 9489556   1.0g 269312 R  98.0  0.6   0:31.99 python
